Draft Year,Player,Position,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Pounds),Wingspan,Lane Agility Time (Seconds),Shuttle Run (Seconds),Three Quarter Spring (Seconds),Standing Vertical Leap (Inches),Max Vertical Leap (Inches),Max Bench Press (Repetitions)
2010,Patrick Patterson,PF,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25'',11.14,-,3.25,28.5,33.5,17
2010,Dexter Pittman,PF-C,20.80%,10.25,10.5,6' 9.5'',6' 11.5'',9' 3'',302.6,7' 6'',-,-,-,-,-,-
2010,Andy Rautins,SG,6.20%,8,9.75,6' 4.25'',6' 5'',8' 4'',191.6,6' 7'',11.27,-,3.49,23.5,30.5,8
2010,Ryan Richards,PF,8.00%,9,9.75,6' 10.5'',6' 11.75'',9' 2'',230.2,7' 1.5'',11.33,-,3.37,25,28.5,4
2010,Stanley Robinson,SF,8.30%,9,9,6' 6.5'',6' 7.75'',8' 11.5'',213.2,7' 0'',11.65,-,3.23,-,37.5,6
2010,Larry Sanders,PF-C,4.60%,9.75,11,6' 9.25'',6' 10.5'',9' 4'',222.4,7' 5.75'',12.49,-,3.27,25.5,28,7
2010,Jon Scheyer,PG-SG,5.40%,7.75,9.5,6' 4.75'',6' 6'',8' 3'',180,6' 3.25'',-,-,-,-,-,-
2010,Lance Stephenson,SG,9.30%,9,10.25,6' 4.5'',6' 5.75'',8' 7'',227,6' 10.5'',11.39,-,3.38,27,33,10
2010,Mikhail Torrance,PG,7.00%,8.75,9.5,6' 4'',6' 5'',8' 7'',208.8,6' 7.5'',11.43,-,3.17,23,32,8
2010,Evan Turner,SG,8.60%,8.75,9.5,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8'',11.06,-,3.27,27.5,34.5,9
2010,Ekpe Udoh,PF,8.00%,9.5,8.75,6' 8.75'',6' 9.75'',8' 10.5'',237.4,7' 4.5'',11.15,-,3.29,31,33.5,10
2010,Jarvis Varnado,PF-C,9.50%,9.25,9.5,6' 8.25'',6' 10'',9' 1.5'',210.2,7' 3.5'',11.61,-,3.37,29.5,32.5,3
2010,Greivis Vasquez,PG-SG,8.60%,7.75,9.25,6' 5'',6' 6.5'',8' 5'',210.8,6' 7'',-,-,-,-,-,-
2010,John Wall,PG,5.60%,8.25,9.5,6' 2.75'',6' 4'',8' 5.5'',195.6,6' 9.25'',10.84,-,3.14,30,39,-
2010,Willie Warren,SG-PG,7.60%,8.5,9.5,6' 2.5'',6' 3.75'',8' 3.5'',208.4,6' 6'',11.21,-,3.5,23,31.5,10
2010,Terrico White,SG-PG,3.70%,9,10.5,6' 3.75'',6' 5'',8' 5'',202.6,6' 9'',11.38,-,3.15,31,40,10
2010,Hassan Whiteside,C-PF,5.50%,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7'',11.83,-,3.54,27,31.5,12
2011,Keith Benson,C-PF,6.10%,9.5,11,6' 10'',6' 11'',9' 1.5'',217,7' 3.75'',11.88,-,3.35,31.5,36,12
2011,Marshon Brooks,SG,5.20%,9,10.5,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1'',10.74,-,3.09,34,38.5,5
2011,Alec Burks,SG,5.10%,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10'',10.96,-,3.17,29,36,5
2011,Jimmy Butler,SF,5.40%,9,9,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5'',11.12,-,3.15,32,39,14
2011,Norris Cole,PG,4.70%,8.5,9.5,6' 0.25'',6' 1.75'',7' 11.5'',174.4,6' 2.25'',10.07,-,3.22,29.5,38.5,11
2011,Jon Diebler,SG,8.50%,8.25,8.25,6' 5.25'',6' 6.5'',8' 3'',196.6,6' 6'',10.94,-,3.37,28,35,2
2011,Michael Dunigan,PF-C,8.00%,9,10.75,6' 8.5'',6' 10'',8' 11.5'',237.6,7' 3.25'',11.85,-,3.27,29.5,34.5,10
2011,LaceDarius Dunn,SG,5.50%,9,10.25,6' 3'',6' 4'',8' 5'',187.8,6' 6.25'',11.45,-,3.27,26.5,31,3
2011,Kenneth Faried,PF,6.30%,8.5,10.25,6' 6'',6' 7.5'',9' 0'',224.6,7' 0'',11.35,-,3.26,30.5,35,16
2011,James Fredette,PG,7.70%,8,8.5,6' 0.75'',6' 2.5'',8' 0.5'',196,6' 4.5'',10.42,-,3.21,28,33,14
2011,Andrew Goudelock,PG,9.90%,8.25,9.25,6' 1.25'',6' 2.75'',8' 0.5'',197.6,6' 4.25'',10.33,-,3.1,32.5,37,4
2011,Jordan Hamilton,SF,9.80%,9,9.25,6' 6.75'',6' 8.5'',8' 8'',228.4,6' 9.5'',11.47,-,3.3,25,32,7
2011,Justin Harper,PF-SF,4.00%,9,9.25,6' 8'',6' 8.75'',8' 10'',228,6' 11.75'',11.92,-,3.3,28.5,33,19
2011,Tobias Harris,SF-PF,8.40%,8.75,9,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11'',10.96,-,3.17,31.5,37.5,12
2011,Tyler Honeycutt,SF,5.30%,8.5,9.5,6' 6.75'',6' 8.25'',8' 9'',186.8,6' 9'',11.68,-,3.07,30,37,-
2011,Scotty Hopson,SG,4.80%,8.5,10,6' 5.75'',6' 6.5'',8' 7.5'',204.6,6' 10.5'',10.47,-,3.18,32.5,36,10
2011,Kyrie Irving,PG,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4'',-,-,-,-,-,-
2011,Rick Jackson,PF,8.30%,8.75,9.5,6' 8.25'',6' 9.25'',8' 10.5'',241.8,7' 2'',11.51,-,3.26,28.5,33,9
2011,Charles Jenkins,PG-SG,4.30%,8.5,9,6' 1.5'',6' 3.25'',8' 0.5'',216.4,6' 7.5'',11.68,-,3.18,29.5,34,16
2011,JaJuan Johnson,PF,7.50%,9,10,6' 9'',6' 10'',8' 11.5'',219.8,7' 2'',11.21,-,3.14,33.5,38,15
2011,Cory Joseph,PG,9.70%,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5'',10.75,-,3.27,27.5,35,5
2011,Enes Kanter,PF-C,5.90%,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5'',11.3,-,3.26,26,32.5,14
2011,Brandon Knight,PG,4.20%,8.25,9.5,6' 1.5'',6' 3.25'',8' 2.5'',176.8,6' 6.75'',10.74,-,3.07,29,37.5,10
2011,Malcolm Lee,SG,5.90%,8.5,9.5,6' 4'',6' 5.5'',8' 5.5'',198.2,6' 9.75'',11.2,-,3.09,30,35.5,17
2011,Kawhi Leonard,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3'',11.45,-,3.15,25.5,32,3
2011,Travis Leslie,SG,8.10%,8.75,9.25,6' 3'',6' 4.25'',8' 7'',205,6' 10.5'',11,-,3.13,33,40.5,10
2011,Jon Leuer,PF,5.40%,8.75,9.75,6' 10'',6' 11.5'',8' 9.5'',223.2,7' 0'',10.82,-,3.36,29.5,36.5,14
2011,DeAndre Liggins,SF-SG,5.00%,8.75,10,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11'',-,-,3.33,27,31,6
2011,David Lighty,SG,6.50%,9,10,6' 4.75'',6' 6.5'',8' 5'',216.2,6' 8'',10.81,-,3.25,28.5,33,15
2011,Shelvin Mack,PG,7.10%,8.25,9.25,6' 1'',6' 2.5'',8' 0.5'',209,6' 7.5'',11.23,-,3.18,32,39,17
2011,Demetri McCamey,PG,6.10%,8.5,9,6' 1.75'',6' 3.25'',8' 3.5'',204,6' 6.25'',11.55,-,3.19,27,33,-
2011,E'Twaun Moore,SG,7.60%,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5'',11.12,-,3.31,32,34.5,-
2011,Marcus Morris,PF-SF,8.00%,8.25,8.5,6' 7'',6' 8.75'',8' 9.5'',229.6,6' 10'',-,-,3.15,29,33,11
2011,Markieff Morris,PF,10.20%,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75'',-,-,3.4,27,31.5,11
2011,Darius Morris,PG-SG,5.30%,8.75,10,6' 3.25'',6' 5.25'',8' 6'',190,6' 7.5'',11,-,3.2,24.5,32,12
2011,Chandler Parsons,SF,7.00%,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5'',11.05,-,3.29,25.5,31.5,4
2011,Jereme Richmond,SF,5.50%,8.75,9.5,6' 6'',6' 7.25'',8' 10.5'',207.2,6' 10.25'',11.74,-,3.02,27,33.5,-
2011,Josh Selby,SG-PG,7.90%,8.5,9,6' 1.75'',6' 3'',8' 2'',194.6,6' 5.25'',11.13,-,3.2,29.5,42,5
2011,Iman Shumpert,PG-SG,6.50%,9,9,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5'',11.1,-,3.18,36.5,42,18
2011,Kyle Singler,SF,10.00%,8.25,8.75,6' 7.5'',6' 8.5'',8' 10'',228,6' 10.1'',11.22,-,3.21,23,30,10
